Gender,Auto_Mapping_Path,Suggested_Path_1,Suggested_Path_2,Suggested_Path_3,Suggested_Path_4,Suggested_Path_5,Suggested_Path_6,Suggested_Path_7
MEN,MEN > CLOTHING > JEANS,JEANS > MEN > SKINNY JEANS,JEANS > MEN > SUPER SKINNY JEANS,JEANS > MEN > SLIM JEANS,JEANS > MEN > BAGGY,,,
MEN,JEANS > MEN,JEANS > MEN > SKINNY JEANS,JEANS > MEN > SUPER SKINNY JEANS,JEANS > MEN > SLIM JEANS,JEANS > MEN > BAGGY,,,
MEN,MEN > CLOTHING > JACKETS & COATS,MEN > NEW & NOW > WINTER SETS,MEN > CLOTHING > TRACKSUITS,,,,,
MEN,MEN > CLOTHING > T-SHIRTS,MEN > NEW & NOW > SUMMER SETS,MEN > CLOTHING > SHIRTS,MEN > NEW & NOW > WINTER SETS,,,,
MEN,MEN > CLOTHING > SHIRTS,MEN > NEW & NOW > SUMMER SETS,MEN > NEW & NOW > WINTER SETS,,,,,
MEN,MEN > CLOTHING > SWEATSHIRTS & HOODIES,MEN > NEW & NOW > WINTER SETS,MEN > CLOTHING > TRACKSUITS,,,,,
MEN,MEN > CLOTHING > SWEATERS,MEN > NEW & NOW > WINTER SETS,MEN > CLOTHING > TRACKSUITS,,,,,
MEN,MEN > CLOTHING > PANTS,MEN > CLOTHING > SWEATPANTS,,,,,,
MEN,MEN > ACCESSORIES & SHOES > ALL ACCESSORIES,MEN > ACCESSORIES & SHOES > SOCKS & UNDERWEAR,MEN > ACCESSORIES & SHOES > TIES,MEN > ACCESSORIES & SHOES > JEWELRY,MEN > ACCESSORIES & SHOES > SUNGLASSES,MEN > ACCESSORIES & SHOES > FRAGRANCE & BEAUTY,MEN > ACCESSORIES & SHOES > HATS,MEN > ACCESSORIES & SHOES > BELTS
WOMEN,WOMEN > CLOTHING > JEANS,JEANS > WOMEN > SKINNY JEANS,JEANS > WOMEN > RELAXED JEANS,JEANS > WOMEN > FLARE & WIDE LEG JEANS,,,,
WOMEN,JEANS > WOMEN,,JEANS > WOMEN > RELAXED JEANS,JEANS > WOMEN > FLARE & WIDE LEG JEANS,,,,
WOMEN,WOMEN > CLOTHING > DRESSES,WOMEN > CLOTHING > DRESSES > MINI DRESS,WOMEN > CLOTHING > DRESSES > MIDI DRESS,WOMEN > CLOTHING > DRESSES > MAXI DRESS,WOMEN > CLOTHING > DRESSES > NIGHT DRESSES,,,
WOMEN,WOMEN > CLOTHING > JACKETS & COATS,WOMEN > NEW & NOW > WINTER SETS,WOMEN > CLOTHING > MATCHING SETS,,,,,
WOMEN,WOMEN > CLOTHING > TOPS,WOMEN > NEW & NOW > SUMMER SETS,WOMEN > NEW & NOW > WINTER SETS,WOMEN > CLOTHING > MATCHING SETS,,,,
WOMEN,WOMEN > CLOTHING > SHORTS,WOMEN > NEW & NOW > SUMMER SETS,WOMEN > CLOTHING > MATCHING SETS,,,,,
WOMEN,WOMEN > CLOTHING > SKIRTS,WOMEN > NEW & NOW > SUMMER SETS,WOMEN > CLOTHING > MATCHING SETS,,,,,
WOMEN,WOMEN > CLOTHING > PANTS & LEGGINGS,WOMEN > NEW & NOW > SUMMER SETS,WOMEN > NEW & NOW > WINTER SETS,WOMEN > CLOTHING > MATCHING SETS,WOMEN > CLOTHING > TRACKSUITS,,,
WOMEN,WOMEN > CLOTHING > SWEATPANTS,WOMEN > NEW & NOW > WINTER SETS,WOMEN > CLOTHING > MATCHING SETS,WOMEN > CLOTHING > TRACKSUITS,,,,
WOMEN,WOMEN > CLOTHING > SWEATSHIRTS & HOODIES,WOMEN > NEW & NOW > WINTER SETS,WOMEN > CLOTHING > MATCHING SETS,WOMEN > CLOTHING > TRACKSUITS,,,,
WOMEN,WOMEN > ACCESSORIES & SHOES > ALL ACCESSORIES,WOMEN > ACCESSORIES & SHOES > JEWELRY,WOMEN > ACCESSORIES & SHOES > SUNGLASSES,WOMEN > ACCESSORIES & SHOES > HATS,WOMEN > ACCESSORIES & SHOES > FRAGRANCE & BEAUTY,,,
