Root,Level,Key,Label,Parent Key,Sort Order,Link Type,Linked Collection / URL,Full Path
MEN,0,men,MEN,,100,COLLECTION,men,MEN
MEN,1,men/new-now,NEW & NOW,men,101,COLLECTION,men-new-now,MEN > NEW & NOW
MEN,2,men/new-now/new-arrivals,NEW ARRIVALS,men/new-now,102,COLLECTION,new-arrivals,MEN > NEW & NOW > NEW ARRIVALS
MEN,2,men/new-now/summer-sets,SUMMER SETS,men/new-now,103,COLLECTION,summer-sets-men,MEN > NEW & NOW > SUMMER SETS
MEN,2,men/new-now/winter-sets,WINTER SETS,men/new-now,104,COLLECTION,winter-sets,MEN > NEW & NOW > WINTER SETS
MEN,1,men/clothing,CLOTHING,men,110,COLLECTION,men-clothing,MEN > CLOTHING
MEN,2,men/clothing/jeans,JEANS,men/clothing,111,COLLECTION,jeans-men,MEN > CLOTHING > JEANS
MEN,2,men/clothing/baggy,BAGGY,men/clothing,112,COLLECTION,baggy-men,MEN > CLOTHING > BAGGY
MEN,2,men/clothing/super-skinny-jeans,SUPER SKINNY JEANS,men/clothing,113,COLLECTION,super-skinny-jeans-men,MEN > CLOTHING > SUPER SKINNY JEANS
MEN,2,men/clothing/skinny-jeans,SKINNY JEANS,men/clothing,114,COLLECTION,skinny-jeans,MEN > CLOTHING > SKINNY JEANS
MEN,2,men/clothing/slim-jeans,SLIM JEANS,men/clothing,115,COLLECTION,slim-jeans-men,MEN > CLOTHING > SLIM JEANS
MEN,2,men/clothing/shirts,SHIRTS,men/clothing,116,COLLECTION,shirts,MEN > CLOTHING > SHIRTS
MEN,2,men/clothing/dress-shirt,DRESS SHIRT,men/clothing,117,COLLECTION,dress-shirt,MEN > CLOTHING > DRESS SHIRT
MEN,2,men/clothing/denim-shirts,DENIM SHIRTS,men/clothing,118,COLLECTION,denim-shirts,MEN > CLOTHING > DENIM SHIRTS
MEN,2,men/clothing/linen-shirts,LINEN SHIRTS,men/clothing,119,COLLECTION,linen-shirts,MEN > CLOTHING > LINEN SHIRTS
MEN,2,men/clothing/graphic-t-shirts-summer,GRAPHIC T-SHIRTS (SUMMER),men/clothing,120,COLLECTION,short-sleeve-shirts,MEN > CLOTHING > GRAPHIC T-SHIRTS (SUMMER)
MEN,2,men/clothing/graphic-t-shirts-winter,GRAPHIC T-SHIRTS (WINTER),men/clothing,121,COLLECTION,graphic-t-shirts-winter,MEN > CLOTHING > GRAPHIC T-SHIRTS (WINTER)
MEN,2,men/clothing/t-shirts,T-SHIRTS,men/clothing,122,COLLECTION,t-shirts,MEN > CLOTHING > T-SHIRTS
MEN,2,men/clothing/tank-tops,TANK TOPS,men/clothing,123,COLLECTION,tank-tops-men,MEN > CLOTHING > TANK TOPS
MEN,2,men/clothing/tops,TOPS,men/clothing,124,COLLECTION,tops-men,MEN > CLOTHING > TOPS
MEN,2,men/clothing/shorts,SHORTS,men/clothing,125,COLLECTION,shorts-1,MEN > CLOTHING > SHORTS
MEN,2,men/clothing/pants,PANTS,men/clothing,126,COLLECTION,pants,MEN > CLOTHING > PANTS
MEN,2,men/clothing/jackets-coats,JACKETS & COATS,men/clothing,127,COLLECTION,jackets-coats,MEN > CLOTHING > JACKETS & COATS
