Key,Label,Parent Key,Depth,Sort Order,Link Type,Linked Collection Handle / URL,Path
women,WOMEN,,0,10,COLLECTION,women,WOMEN
women/new-now,NEW & NOW,women,1,11,COLLECTION,women-new-now,WOMEN > NEW & NOW
women/new-now/new-arrivals,NEW ARRIVALS,women/new-now,2,12,COLLECTION,new-arrivals-women,WOMEN > NEW & NOW > NEW ARRIVALS
women/new-now/limited-edition,LIMITED EDITION,women/new-now,2,13,COLLECTION,limited-edition,WOMEN > NEW & NOW > LIMITED EDITION
women/new-now/summer-sets,SUMMER SETS,women/new-now,2,14,COLLECTION,summer-sets,WOMEN > NEW & NOW > SUMMER SETS
women/new-now/winter-sets,WINTER SETS,women/new-now,2,15,COLLECTION,winter-sets-women,WOMEN > NEW & NOW > WINTER SETS
women/clothing,CLOTHING,women,1,20,COLLECTION,clothing-1,WOMEN > CLOTHING
women/clothing/matching-sets,MATCHING SETS,women/clothing,2,21,COLLECTION,matching-sets-1,WOMEN > CLOTHING > MATCHING SETS
women/clothing/dresses,DRESSES,women/clothing,2,22,COLLECTION,dresses,WOMEN > CLOTHING > DRESSES
women/clothing/dresses/mini-dresses,MINI DRESSES,women/clothing/dresses,3,23,COLLECTION,mini-dresses,WOMEN > CLOTHING > DRESSES > MINI DRESSES
women/clothing/dresses/midi-dresses,MIDI DRESSES,women/clothing/dresses,3,24,COLLECTION,midi-dresses-women,WOMEN > CLOTHING > DRESSES > MIDI DRESSES
women/clothing/dresses/maxi-dresses,MAXI DRESSES,women/clothing/dresses,3,25,COLLECTION,maxi-dresses-women,WOMEN > CLOTHING > DRESSES > MAXI DRESSES
women/clothing/dresses/night-dresses,NIGHT DRESSES,women/clothing/dresses,3,26,COLLECTION,night-dresses,WOMEN > CLOTHING > DRESSES > NIGHT DRESSES
women/clothing/jeans,JEANS,women/clothing,2,27,COLLECTION,clothing-jeans,WOMEN > CLOTHING > JEANS
women/clothing/shorts,SHORTS,women/clothing,2,28,COLLECTION,shorts,WOMEN > CLOTHING > SHORTS
women/clothing/skirts,SKIRTS,women/clothing,2,29,COLLECTION,skirts,WOMEN > CLOTHING > SKIRTS
women/clothing/tops,TOPS,women/clothing,2,30,COLLECTION,tops,WOMEN > CLOTHING > TOPS
women/clothing/tank-tops,TANK TOPS,women/clothing,2,31,COLLECTION,tank-tops,WOMEN > CLOTHING > TANK TOPS
